"scode","schaincode","sdescription"
!DAILY_SCHED,!!BASE|!DAILY_SCHED,"Пакет ""Оркестровка оперативной отчетности"""
!KERNEL_CCMIS,!!BASE|!KERNEL_CCMIS,"Пакет ""Платформа реализации функционала ЦК MIS"""
!RUN,!!RUN|!RUN,RUN
ACCIDENT,!!BASE|!MON|ACCIDENT,Управление инцидентами
ACQ,!!RETAIL|!RETAIL_TRN|ACQ,Эквайринг
ACU,!!BASE|!KERNEL|ACU,Сервис управления доступом
ADS,!!BASE|!KERNEL|ADS,Сервис архивных данных
AGGR,!!CONS|!SUMMARY_RPT|AGGR,Справочники консолидированной отчетности
AM_MFD,!!RETAIL|!RETAIL_TRN|AM_MFD,ПИФы и Доверительное управление
AMIS_BASE_APP,!!BASE|!ARCH|AMIS_BASE_APP,Метаданные прикладных сервисов
AMIS_OLAP_APP,!!BASE|!ARCH|AMIS_OLAP_APP,OLAP-кубы и SMP-витрины прикладных сервисов
ARC,!!RETAIL|!RETAIL_ASSET|ARC,Активы ФЛ
ARCH,!!BASE|!ARCH|ARCH,Архитектурные метаданные Платформы MIS
ATM,!!RETAIL|!RETAIL_TRN|ATM,Банкоматы
AUDSSDBE,!!BASE|!KERNEL|AUDSSDBE,Аудит низкоуровневого доступа к данным SqlServer
BANKA,!!RETAIL|!RETAIL_TRN|BANKA,Банковское страхование
BILLS,!!RETAIL|!RETAIL_LIAB|BILLS,Векселя ФЛ
BLAGO,!!RETAIL|!RETAIL_TRN|BLAGO,PL блока УБ
BLOCK-T,!!CONS|!OTHER|BLOCK-T,Показатели Блока-Т
BO,!!GM|!CORP_GM|BO,Брокерское обслуживание
BONDS,!!GM|!CORP_GM|BONDS,Облигации
BSP,!!CONS|!OTHER|BSP,БСП. Финрез
BSP2,!!CONS|!OTHER|BSP2,БСП. Финрез v2
CAP2MIS,!!CONS|!MIDDLEWARE|CAP2MIS,Поставка данных КАП в Платформу MIS
CARD,!!RETAIL|!RETAIL_TRN|CARD,Банковские карты
CASH,!!RETAIL|!RETAIL_TRN|CASH,Денежная наличность
CBRL,!!CORP|!CORP_ASSET|CBRL,Кредиты Банка России
CCA,!!CONS|!SUMMARY_RPT|CCA,Бизнес-правила ЦКУ
CCARD,!!CORP|!CORP_LIAB|CCARD,Корпоративные карты
CESS,!!CORP|!CORP_ASSET|CESS,Цессии ЮЛ
CIBGL,!!GM|!CORP_GM|CIBGL,Главная Книга Сбербанк КИБ»
CLIENT_RB,!!BASE|!GRD|CLIENT_RB,Клиенты розницы
CMC_DATA,!!CONS|!SUMMARY_RPT|CMC_DATA,Данные ТУК в ПMIS
COIN,!!CONS|!OTHER|COIN,Монеты и слитки
COMP_ACC,!!CORP|!CORP_CLIENT|COMP_ACC,Компетенциальный учет по клиентам ЮЛ
CTRL_BOARD,!!BASE|!KERNEL|CTRL_BOARD,Приборная панель управления подготовкой отчетности
CTRL_ENGINE,!!BASE|!KERNEL|CTRL_ENGINE,Управляющий механизм
CVRS,!!GM|!CORP_GM|CVRS,Конверсии
DCC,!!CORP|!CORP_LIAB|DCC,Пассивы ЮЛ
DCC2,!!CORP|!CORP_LIAB|DCC2,Пассивы ЮЛ v2
devops-test,!!BASE|!TEST|devops-test,Тестирование DEVOPS
DQC,!!BASE|!MON|DQC,Аудит качества данных MIS
DRC,!!RETAIL|!RETAIL_LIAB|DRC,Вклады ФЛ
DRORWA2,!!CONS|!OTHER|DRORWA2,RORWA по клиенту v2
ENCASHMENT,!!CONS|!OTHER|ENCASHMENT,Инкассация
ERIB,!!RETAIL|!RETAIL_TRN|ERIB,Оперативная витрина транзакций в каналах Цифровой Платформы
ESC,!!RETAIL|!RETAIL_LIAB|ESC,Эскроу
ETL_FWK_CCMIS,!!BASE|!GAP_TOOLS|ETL_FWK_CCMIS,IPC ЦК MIS (бывш. СЗБ)
EXPDWH,!!BASE|!KERNEL|EXPDWH,Экспорт данных через транзитные витрины АХД
GDIM,!!BASE|!GRD|GDIM,ГНСИ. Общие измерения управленческой отчетности MIS
GEAR,!!BASE|!MON|GEAR,Контроль роботов
GM,!!GM|!CORP_GM|GM,Показатели отчетности из внешних источников: КИБ
GMCOMS,!!GM|!CORP_GM|GMCOMS,Витрина клиентский доход подразделений ДГР
GMF,!!GM|!CORP_GM|GMF,Витрина финансового результата по продуктам GM
GMPNL,!!GM|!CORP_GM|GMPNL,Торговый доход на глобальных финансовых рынках
GMRAW,!!GM|!CORP_GM|GMRAW,Данные из операционных систем GM
GUAR,!!CORP|!CORP_ASSET|GUAR,Гарантии
GUAR2,!!CORP|!CORP_ASSET|GUAR2,Гарантии v2
HR,!!CONS|!OTHER|HR,Справочные данные из кадровых систем
INFRA,!!BASE|!MON|INFRA,Инфраструктура
ISSUER_BONDS,!!GM|!CORP_GM|ISSUER_BONDS,Собственные облигации
JIRA,!!BASE|!MON|JIRA,Куб JIRA
LBRC,!!RETAIL|!RETAIL_LIAB|LBRC,Пассивы ФЛ
LCC,!!CORP|!CORP_ASSET|LCC,Кредиты ЮЛ
LCC2,!!CORP|!CORP_ASSET|LCC2,Кредиты ЮЛ v2
LCF,!!RETAIL|!RETAIL_TRN|LCF,Legacy фонд оплаты труда
LOC,!!CORP|!CORP_LIAB|LOC,Аккредитивы ЮЛ
LORO,!!CORP|!CORP_LIAB|LORO,ЛОРО-счета
LRC,!!RETAIL|!RETAIL_ASSET|LRC,Кредиты ФЛ
MARKET,!!VIS|!UFIP_SRV|MARKET,Доли рынка
MC,!!CONS|!SUMMARY_RPT|MC,Управленческий куб
MIGRATION,!!BASE|!KERNEL|MIGRATION,Перекладчик
MIS_OUT,!!CONS|!MIDDLEWARE|MIS_OUT,Интеграция транзитных витрин АХД с инфосервисами Платформы MIS
MIS2ALM,!!CONS|!MIDDLEWARE|MIS2ALM,Выгрузка данных из MIS.PLT в АС ALM
MIS2CCV,!!CONS|!MIDDLEWARE|MIS2CCV,Выгрузка данных из MIS.PLT в AC ALM для калькулятора CLTV ЮЛ
MIS2CIB,!!CONS|!MIDDLEWARE|MIS2CIB,Выгрузка данных по клиентам ЮЛ из MIS.PLT в КИБ CRM
MIS2COD,!!CONS|!MIDDLEWARE|MIS2COD,Выгрузка данных по клиентам ЮЛ из MIS.PLT в ЦОД (Центр обработки данных)
