sCode                                              sParentCode                                        sDescription
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
!!BASE                                             NULL                                               Кластер "Платформа"
!!CONS                                             NULL                                               Кластер "Консолидация"
!!CORP                                             NULL                                               Кластер "Юр. лица"
!!GM                                               NULL                                               Кластер "Глобальные рынки"
!!PRE_CORP                                         NULL                                               Пред-Пром: Кластер "Юр. лица"
!!PROTO                                            NULL                                               Кластер "Протоплазма"
!!RETAIL                                           NULL                                               Кластер "Физ. лица"
!!RUN                                              NULL                                               MIS RUN
!!VIS                                              NULL                                               Кластер "Визуализация"
!ARCH                                              !!BASE                                             Пакет "Архитектурные метаданные и интеграционные настройки"
!CORP_ASSET                                        !!CORP                                             Пакет "Корпоративный бизнес: Активы"
!CORP_CLIENT                                       !!CORP                                             Пакет "Корпоративный бизнес: Клиенты"
!CORP_GM                                           !!GM                                               Пакет "Корпоративный бизнес: Глобальные рынки"
!CORP_LIAB                                         !!CORP                                             Пакет "Корпоративный бизнес: Пассивы"
!DAILY_SCHED                                       !!BASE                                             Пакет "Оркестровка оперативной отчетности"
!GAP_TOOLS                                         !!BASE                                             Пакет "Набор непромышленных инструментов для учета в метаданных"
!GRD                                               !!BASE                                             Пакет "Глобальная НСИ"
!KERNEL                                            !!BASE                                             Пакет "Базовый модуль"
!KERNEL_CCMIS                                      !!BASE                                             Пакет "Платформа реализации функционала ЦК MIS"
!KERNEL_OLAP                                       !!BASE                                             Пакет "OLAP-платформа"
!MIDDLEWARE                                        !!CONS                                             Пакет "Интеграционные витрины"
!MON                                               !!BASE                                             Пакет "Мониторинг"
!NAVY_SRV                                          !!VIS                                              Пакет "Навигатор-сервис"
!OPEX                                              !!CONS                                             Пакет "Операционные расходы"
!OTHER                                             !!CONS                                             Пакет "Прочие центры прибыли"
!PRE_CORP_ASSET                                    !!PRE_CORP                                         Пред-Пром: Корпоративный бизнес: Активы
!RETAIL_ASSET                                      !!RETAIL                                           Пакет "Розничный бизнес: Активы"
!RETAIL_CLIENT                                     !!RETAIL                                           Пакет "Розничный бизнес: Сводная отчётность"
!RETAIL_LIAB                                       !!RETAIL                                           Пакет "Розничный бизнес: Пассивы"
!RETAIL_TRN                                        !!RETAIL                                           Пакет "Розничный бизнес: Транзакционные продукты"
!RUN                                               !!RUN                                              RUN
!SUMMARY_RPT                                       !!CONS                                             Пакет "Сводная отчетность"
!TEST                                              !!BASE                                             Пакет "Тестовые модули"
!TRASH                                             !!PROTO                                            Пакет "Объекты на удаление"
!UFIP_SRV                                          !!VIS                                              Пакет "УФИП-сервис"
ACCIDENT                                           !MON                                               Управление инцидентами
ACQ                                                !RETAIL_TRN                                        Эквайринг
ACU                                                !KERNEL                                            Сервис управления доступом
ADS                                                !KERNEL                                            Сервис архивных данных
AGGR                                               !SUMMARY_RPT                                       Справочники консолидированной отчетности
AM_MFD                                             !RETAIL_TRN                                        ПИФы и Доверительное управление
AMIS_BASE_APP                                      !ARCH                                              Метаданные прикладных сервисов
AMIS_OLAP_APP                                      !ARCH                                              OLAP-кубы и SMP-витрины прикладных сервисов
ARC                                                !RETAIL_ASSET                                      Активы ФЛ
ARCH                                               !ARCH                                              Архитектурные метаданные Платформы MIS
ATM                                                !RETAIL_TRN                                        Банкоматы
AUDSSDBE                                           !KERNEL                                            Аудит низкоуровневого доступа к данным SqlServer
BANKA                                              !RETAIL_TRN                                        Банковское страхование
BILLS                                              !RETAIL_LIAB                                       Векселя ФЛ
BLAGO                                              !RETAIL_TRN                                        PL блока УБ
BLOCK-T                                            !OTHER                                             Показатели Блока-Т
BO                                                 !CORP_GM                                           Брокерское обслуживание
BONDS                                              !CORP_GM                                           Облигации
BSC                                                !SUMMARY_RPT                                       Куб по банковской системе
BSP                                                !OTHER                                             БСП. Финрез
BSP2                                               !OTHER                                             БСП. Финрез v2
CAP2MIS                                            !MIDDLEWARE                                        Поставка данных КАП в Платформу MIS
CARD                                               !RETAIL_TRN                                        Банковские карты
CASH                                               !RETAIL_TRN                                        Денежная наличность
CBRL                                               !CORP_ASSET                                        Кредиты Банка России
CCA                                                !SUMMARY_RPT                                       Бизнес-правила ЦКУ
CCARD                                              !CORP_LIAB                                         Корпоративные карты
CESS                                               !CORP_ASSET                                        Цессии ЮЛ
CIBGL                                              !CORP_GM                                           Главная Книга Сбербанк КИБ»
CLIENT_RB                                          !GRD                                               Клиенты розницы
CMC_DATA                                           !SUMMARY_RPT                                       Данные ТУК в ПMIS
COIN                                               !OTHER                                             Монеты и слитки
COMP_ACC                                           !CORP_CLIENT                                       Компетенциальный учет по клиентам ЮЛ
CORP_CLIENT                                        !CORP_CLIENT                                       Унифицированные клиенты ЮЛ
CTRL_BOARD                                         !KERNEL                                            Приборная панель управления подготовкой отчетности
CTRL_ENGINE                                        !KERNEL                                            Управляющий механизм
CVRS                                               !CORP_GM                                           Конверсии
DCC                                                !CORP_LIAB                                         Пассивы ЮЛ
DCC2                                               !CORP_LIAB                                         Пассивы ЮЛ v2
devops-test                                        !TEST                                              Тестирование DEVOPS
DQC                                                !MON                                               Аудит качества данных MIS
DRC                                                !RETAIL_LIAB                                       Вклады ФЛ
DRORWA2                                            !OTHER                                             RORWA по клиенту v2
ENCASHMENT                                         !OTHER                                             Инкассация
ERIB                                               !RETAIL_TRN                                        Оперативная витрина транзакций в каналах Цифровой Платформы
ESC                                                !RETAIL_LIAB                                       Эскроу
ETL_FWK_CCMIS                                      !GAP_TOOLS                                         IPC ЦК MIS (бывш. СЗБ)
EXPDWH                                             !KERNEL                                            Экспорт данных через транзитные витрины АХД
GDIM                                               !GRD                                               ГНСИ. Общие измерения управленческой отчетности MIS
GEAR                                               !MON                                               Контроль роботов
GM                                                 !CORP_GM                                           Показатели отчетности из внешних источников: КИБ
GMCOMS                                             !CORP_GM                                           Витрина клиентский доход подразделений ДГР
GMF                                                !CORP_GM                                           Витрина финансового результата по продуктам GM
GMPNL                                              !CORP_GM                                           Торговый доход на глобальных финансовых рынках
GMRAW                                              !CORP_GM                                           Данные из операционных систем GM
GUAR                                               !CORP_ASSET                                        Гарантии
GUAR2                                              !CORP_ASSET                                        Гарантии v2
HR                                                 !OTHER                                             Справочные данные из кадровых систем
INFRA                                              !MON                                               Инфраструктура
ISSUER_BONDS                                       !CORP_GM                                           Собственные облигации
JIRA                                               !MON                                               Куб JIRA
LBRC                                               !RETAIL_LIAB                                       Пассивы ФЛ
LCC                                                !CORP_ASSET                                        Кредиты ЮЛ
LCC2                                               !CORP_ASSET                                        Кредиты ЮЛ v2
LCF                                                !RETAIL_TRN                                        Legacy фонд оплаты труда
LOC                                                !CORP_LIAB                                         Аккредитивы ЮЛ
LORO                                               !CORP_LIAB                                         ЛОРО-счета
LRC                                                !RETAIL_ASSET                                      Кредиты ФЛ
